Smiles,Standard Value
BrC=1C(=O)N(c2nc(ncc2C=1C)Nc1ccc(N2CC[NH2+]CC2)cc1)C1CCCC1,0
BrCC(=O)N(S(=O)(=O)c1cc(Cl)sc1Cl)c1ccccc1,0
Brc1[nH]c2c(c1)/C(/CCNC2=O)=C/1\NC(=NC\1=O)N,1
Brc1[nH]nc(C(C)C)c1-c1nc(ncc1)NC1CC[NH+](CC1)C,0
Brc1c2[nH]c(O)c(c2ccc1)-c1[nH]c2c(cccc2)c1N=O,0
Brc1c2[nH]c-3c(CC(=O)Nc4c-3cccc4)c2ccc1,0
Brc1c2[nH]cc(c2c(O)cc1)-c1nc(ncc1)N,1
Brc1c2c3c4c(c5c6c([nH]c5c3[nH]c2ccc1)cccc6)C(=O)NC4=O,1
Brc1c2nc(nc1)Nc1cc(S(=O)(=O)NCCCN2)ccc1,1
Brc1c\2c(ccc1)C(=O)NC(=O)/C/2=C\NCc1cc(O)c(OC)cc1,0
Brc1cc(F)c(C(=O)c2c[nH]c-3nncc-3c2OCCCC)c(F)c1,1
Brc1cc(Nc2nc(-c3ccc(cc3)C([NH3+])(C)C)c(Cl)cn2)ccc1,0
Brc1cc(Nc2nc(N)c(N=O)c(OCC3CCCCC3)n2)ccc1,1
Brc1cc(Nc2nc(OCC3CCCCC3)c3[nH]cnc3n2)ccc1,0
Brc1cc(Nc2nc(nc3n(cnc23)C(C)C)NCCO)ccc1,0
Brc1cc(Nc2ncnc3c2cc(OC)c(OC)c3)ccc1,0
Brc1cc(O)c2c([nH]cc2-c2nc(ncc2)N)c1,0
Brc1cc(ccc1)C1=Nc2n(ncn2)C(NCc2ccncc2)=C1,0
Brc1cc(ccc1)CC(=O)Nc1n[nH]c2c1cc(N1S(=O)(=O)CCC1)cc2,1
Brc1cc(ccc1)CNc1nc(nc2n(cnc12)C(C)C)N1CCC[C@@H]1CO,1
Brc1cc(ccc1)CNc1ncnc2n(cnc12)C1CC(NC(=O)c2nc(ccc2)C)C1,1
Brc1cc(ccc1O)C=1Oc2c(cc(cc2N2S(=O)(=O)CCC2)C)C(=O)C=1O,1
